"TEAM","RECORD","PF","PA","OVER","OFF","PASS","PBLK","RECV","RUN","RBLK","DEF","RDEF","TACK","PRSH"
"Air Force","10-3",409,314,84,79.9,69.4,77.1,77.7,61.9,82.9,80.8,87.7,87,64.3
"Akron","5-7",271,277,73,64.3,57,82.3,55.2,60.1,78.4,82.8,85.7,89.3,65.5
"Alabama","12-2",517,258,93.8,93.6,85.5,91.1,82.7,83.8,87.8,93.3,96.3,91.8,72.8
"Appalachian State","7-5",428,328,81.6,75.6,62.2,79.1,69.5,61,82.4,82.4,74.2,64.1,70.7
"Arizona","10-4",483,395,81,69.6,66.8,56.5,68,73.5,90.8,92.4,90.3,59.8,86.5
"Arizona State","10-3",480,363,80.4,77.6,66.7,82.7,74.8,65.5,77.6,79.2,88.2,55.6,82.8
"Arkansas","7-6",415,250,90.2,88.6,71.5,68.9,79.3,87.1,87.3,87.3,87.9,72,80
"Arkansas State","7-6",477,396,80.9,72.3,69.5,79.2,67,79.7,87.8,86.8,91.5,73.9,86.7
"Army","4-8",299,395,73.2,76.8,44.9,78.4,57.4,73.6,62.6,65.4,67.2,52.3,63.4
"Auburn","8-5",461,347,90.5,93.4,87.8,88.8,83.4,88,88,84.7,80.4,68.3,78.2
"Ball State","5-7",332,326,80.9,80.9,60.9,83.6,69.4,74.4,85.6,72.8,67.9,58.3,79.2
"Baylor","11-2",627,332,90.9,88.3,85.8,81.6,76,91,76.3,91.4,93.4,77.9,83.9
"Boise State","12-2",556,375,91.2,89.1,77,78.4,77,79.5,91.3,91.3,92.1,68.9,90.4
"Boston College","7-6",341,277,80.8,71.7,64.7,73.8,70.4,73.8,86.6,89.8,79.8,68.4,79.4
"Bowling Green","8-6",420,469,76.5,76,66.1,63.9,68.8,72.6,78.6,77.6,78.6,64.2,68.5
"Buffalo","5-6",355,347,91,88.3,69.5,84.9,80.8,73.3,88.1,90.4,92.5,70.6,74.4
"BYU","8-5",482,358,88.8,78.8,74.6,71.7,77.4,77.4,77.4,93.6,91.3,61.8,91
"California","5-7",459,477,80.1,82.4,72.9,77.8,79.1,72.5,69.5,84.2,76.9,52.3,62.8
"Central Michigan","7-6",350,327,89.2,86.1,76.2,85.1,85.4,80.8,84.3,83.4,92.9,71.1,83.7
"Cincinnati","9-4",442,354,85.1,82.8,74.9,73.5,75.4,78.7,79.6,87.9,87.9,65.5,86.7
"Clemson","10-3",491,217,90.2,76.5,65.4,81,73.7,74.4,94.3,94.3,90.1,87.7,91.4
"Colorado","2-10",342,468,77.6,73.3,67.9,68.2,66.2,70,78.2,71.9,90.7,55.3,89.5
"Colorado State","10-3",441,326,89.5,88.7,78.8,80.6,82.4,83.9,86,80,90.3,70.6,85.6
"Connecticut","2-10",186,358,71.9,63.1,55.2,79.4,59.7,70.6,89.5,69,85.7,60.7,72.4
"Duke","9-4",421,283,77.5,75.5,59.2,89.5,74.4,74.3,87.2,71.4,90.4,59.7,84.2
"East Carolina","8-5",466,336,85.9,87,80.3,83.4,80.4,73.7,85.6,84.2,85.6,59.5,71.2
"Eastern Michigan","2-10",182,491,62.5,58.2,46.5,51.6,59.3,67.7,66.7,56.3,59.5,56.3,72.4
"Florida","7-5",363,253,88.3,70.5,85.9,85.9,73.8,71.3,93.4,90.9,94,63.1,94
"Florida Atlantic","3-9",288,413,72.4,71.5,62.9,70.2,63.4,68.9,83,87.5,87.5,58.6,77.1
"Florida International","4-8",276,298,68.9,58.8,36.9,64.9,66.4,80.8,71.9,74.2,77.8,74.2,89.2
"Florida State","13-1",472,358,90.1,89.4,79.3,81.5,79.2,87.5,90.2,88.3,90,64.4,88.3
"Fresno State","6-8",371,454,79.3,74.9,62.3,86.5,75.9,79.8,88.7,81.9,88.6,63,81.9
"Georgia","10-3",537,269,92.7,89.6,85,81.6,80.7,93.3,92.9,94.1,94.3,77.9,91.7
"Georgia Southern","9-3",469,281,88.8,82,73.4,70.2,68.9,87.7,91.3,92.8,92.8,69.1,78.8
"Georgia State","1-11",272,520,66.3,68.6,81.8,69.2,52.6,64.8,59.7,65.3,65.5,50.7,55.2
"Georgia Tech","11-3",530,360,86.4,91.6,69.5,88.5,81.2,68.7,82.6,82.6,82.6,63,72.1
"Hawaii","4-9",272,349,66.9,62.2,56.8,77.6,54.8,72,79.8,67.9,72.4,54.5,67.9
"Houston","8-5",387,268,87.4,74.7,68.1,82.7,70.8,92,93.1,91,93.1,66.7,91
"Idaho","1-10",275,410,71.5,63.4,57.7,63.5,58,82.1,89.8,72.6,78.4,63.2,74.5
"Illinois","6-7",337,442,74.6,71.3,64.1,67.5,72.3,70.2,73.5,74.5,91,66,74.5
"Indiana","4-8",301,394,73.2,70.8,52,79.7,73.1,71.6,62.6,66.1,66.7,66.8,76.3
"Iowa","7-6",367,333,84.9,80,73.6,82.6,66.9,82.9,81.6,78,89.9,69.5,78
"Iowa State","2-10",278,466,66.9,68.1,57.2,62.8,69,75.8,62.4,59.3,54.5,56,74.5
"Kansas","3-9",214,399,65.7,60.9,42.4,62,55.5,73.5,71,58.7,61.1,77.6,84.7
"Kansas State","9-4",465,301,90.6,92.2,87.9,95.4,88.9,86.2,83.7,84.8,86.1,86.1,77.8
"Kent State","2-9",180,319,71.8,62.4,48.7,60.1,63.1,64.6,81.7,94.5,86.1,58.3,86.1
"Kentucky","5-7",350,375,76,69.1,54.2,72.4,68.6,79.6,80.7,74.9,83.4,70.5,83.4
"Louisiana","9-4",383,338,87.3,84.6,68,73.1,72.9,89.9,77.5,75,75.5,56.2,75.5
"Louisiana Tech","9-5",523,346,83.4,75.8,69.5,69.8,68.6,78.8,82,82,90.6,63.1,82
"Louisiana-Monroe","4-8",241,315,68.4,58,42.4,57.7,46.9,70.9,74.3,79.1,83.7,74.1,79.1
"Louisville","9-4",405,283,90.8,78.1,70.3,73.7,74,80,94.4,85.9,93.1,76.6,93.8
"LSU","8-5",359,228,89.7,82.8,65.7,90.4,66.8,85.4,90.6,91.3,90.4,59.6,90.4
"Marshall","13-1",638,294,90.5,89.8,86,95.8,72.6,89,89.9,89.9,91.7,91.7,89.4
"Maryland","7-6",370,392,75.1,64.5,52.3,61.3,69.8,84.8,77.7,70.3,73.9,73.9,86.2
"Massachusetts","3-9",328,396,81,79.4,71.6,77.3,61.9,86.7,75.7,69.2,82,58.8,82
"Memphis","10-3",471,253,88.1,79,78.3,73.3,69.3,90.5,81.5,80.7,91.3,65.3,91.3
"Miami (FL)","6-7",380,316,88.1,84.4,66.8,70.9,79.9,86.9,82.9,77,90,59.7,90.3
"Miami (OH)","2-10",268,382,72.7,67.3,59.4,71.7,57.5,76.5,80.3,77.1,81.4,57.1,81.4
"Michigan","5-7",251,269,84.6,71.5,58,59.1,65.9,80.2,91.1,93.5,74.2,74,74
"Michigan State","11-2",559,280,92.2,92.1,82.8,87.4,79,91.1,90.9,90.6,86.8,81.9,86.8
"Middle Tennessee","6-6",379,378,80.1,79.9,74.7,64.1,71.6,88.3,72.8,80.9,86.6,62.8,86.6
"Minnesota","8-5",369,314,81.2,77,53.5,64.3,73.3,83.3,79.2,73.3,89.2,61.7,89.9
"Mississippi","9-4",368,208,86.6,72.1,66.1,74.5,63.5,92.5,80.5,90.1,93.1,71.2,93.1
"Mississippi State","10-3",480,282,86.3,78.9,71,74.7,68.5,88.8,75.2,88.8,81.5,75.2,88.8
"Missouri","11-3",389,295,84,72.9,65.4,70.1,60.4,80.4,90.6,90.9,81.6,88.6,81.6
"Navy","8-5",414,355,81.7,85.2,55.1,64.3,75,74.1,68.8,67.7,56.4,76.9,68.8
"Nebraska","9-4",491,343,89.1,83,57.4,69.5,73.4,79.1,89.8,88.5,81.8,88.5,90.6
"Nevada","7-6",379,354,80.2,77.3,70.9,83.3,70.3,77,77.6,81.2,70.7,82,82
"New Mexico","4-8",332,431,77.4,81.3,50.6,77.2,59.1,75.5,66,86.6,62.3,86.6,76.4
"New Mexico State","2-10",294,469,69.7,66.9,56.2,80.6,51.9,75.6,68.6,73.1,58.2,73.1,73.1
"North Carolina","6-7",432,507,68.2,75.3,65.2,61.5,70.2,73.8,81.4,72.4,53,72.4,50.1
"North Carolina State","8-5",392,351,89.5,83,69.4,82.3,63.7,85.7,86.2,90.5,76.1,88,88
"North Texas","4-8",326,358,74,71.4,49.9,80.8,63.3,78.4,72,74.2,64,73.8,73.8
"Northern Illinois","11-3",441,359,86.7,83.3,73.7,86.7,61,76.7,82.6,83.4,82.6,84,84
"Northwestern","5-7",276,302,76.8,73.8,73.2,70.8,59.3,74.5,75,74.5,61.5,72.3,72.3
"Notre Dame","8-5",427,379,82.7,83.4,81.2,84.7,74.9,79.5,72.6,68.8,68.6,68.6,63.3
"Ohio","6-6",246,298,77.7,68.4,66.4,79.4,63.6,85.3,85.3,88.9,63.9,88,88
"Ohio State","14-1",672,330,92.1,91.7,70.2,70.4,72.2,93,92,92,91.8,87,89
"Oklahoma","8-5",473,337,88.8,82.4,55.5,86.3,59,72.7,88.6,72.7,76.9,72.7,80
"Oklahoma State","7-6",359,406,80,75.4,65,67.6,67.6,71.6,79.8,72.1,77.2,72,76.8
"Old Dominion","6-6",392,456,80.5,82.3,88,77.7,68.7,80.9,75.7,75.7,58.7,70.9,70.9
"Oregon","13-2",681,354,90.8,91.7,91.8,75.5,78.6,85.4,90,82.9,84.9,84.9,90.9
"Oregon State","5-7",308,379,84,77.4,78.7,79.2,64.8,85,82.7,81,81,81,81
"Penn State","7-6",268,242,77.4,60.5,52.5,69.1,53.9,63.8,92.4,93.7,72.4,72.4,89.4
"Pittsburgh","6-7",414,342,90.3,93,68.6,81.3,77.5,84.8,89.6,84.8,84,84,85
"Purdue","3-9",286,380,68.5,64.4,53.8,57.3,53.3,71.6,71.6,65.6,69.8,73.6,73.6
"Rice","8-5",374,370,80.6,76.8,76.1,86.4,62.8,86.5,78.7,74.2,79.9,66.6,81.9
"Rutgers","8-5",347,392,78.4,87,68.9,76.3,64.8,77.8,88.3,81.8,54.4,66.4,57.8
"San Diego State","7-6",325,258,89.2,82.4,53.2,80.6,68.2,89.2,90.2,92.6,92.6,62,90.6
"San Jose State","3-9",232,353,76.2,71.1,68.2,73.8,63.7,75.6,78.3,69.3,70.6,60.7,89.9
"SMU","1-11",133,496,50.7,51.9,34.2,76.1,47.6,66.1,61.3,57.8,58,35.7,35.7
"South Alabama","6-7",293,343,78.4,72.6,57,76.3,60.5,87.3,81.2,78.2,86.4,73.1,78.9
"South Carolina","7-6",424,395,78.5,80.9,75.5,80.4,70.4,83,71.4,69.1,65.6,58.9,65.6
"Southern Miss","3-9",228,425,64.5,66.2,52.5,61.1,52.5,65.4,59.4,58.9,50.3,38.1,50.3
"Stanford","8-5",353,213,89.8,83,77.4,78.1,59.8,90.9,92.2,92.1,92.5,72.5,82.5
"Syracuse","3-9",205,292,70.1,64.7,52,63.9,57.9,75,74.8,66.2,62.2,66.2,68.7
"TCU","12-1",604,247,91.1,83.1,74.2,92.5,78.5,93.5,93.5,91.5,91,82.4,91
"Temple","6-6",277,210,75.1,58.6,41,80.5,50.9,72.5,91.1,87,91.6,72.9,91.6
"Tennessee","7-6",376,315,82,71.6,65,68,58.7,76.3,90.3,91.1,91.1,76,89
"Texas","6-7",278,310,83.2,67,63.6,64.5,64,72.9,92.2,93.4,93.7,68.8,90.7
"Texas A&M","8-5",458,365,83.3,78.3,68.3,87,69,82.7,83.1,88.4,88.4,75.8,79.9
"Texas State","7-5",406,332,83.8,77.9,66.7,69.6,68,81.1,84.1,80.5,77.2,66.7,87
"Texas Tech","4-8",366,495,74.3,79,69.2,67.8,67.8,88.3,60.8,55.7,56,55.7,69.1
"Toledo","9-4",476,396,86.4,88.8,73.3,83.5,82.2,89.9,87.8,87.8,87.1,72.1,81.6
"Troy","3-9",262,434,71.4,68.6,69.5,70.3,58.4,79.4,71.3,74.7,66,66,76.3
"Tulane","3-9",192,341,73.4,68,44.3,58.6,58.6,83.4,76.9,76.6,70.7,60,79.6
"Tulsa","2-10",296,471,66.1,68.4,58.7,76.7,58.7,77.1,67.8,67.7,57.1,57.7,57.8
"UAB","6-6",398,359,80.1,80.3,64.1,78.1,70.3,76.8,79.9,71.5,64.9,70.3,75.2
"UCF","9-4",365,249,83.2,72.7,63.2,69.5,63.2,67.3,90.3,80.5,80.2,70.4,91.3
"UCLA","10-3",435,365,88.2,77.3,72.4,86.5,75.2,78.2,91.4,93.1,91.2,75.1,89.8
"UNLV","2-11",285,500,70.3,70.7,57.3,82.7,61.8,71.5,77.3,67.4,67.7,57.1,66.4
"USC","9-4",466,327,91.1,90.7,92.1,84.9,77.4,77.4,90.6,94.8,92.7,92.7,89.3
"USF","4-8",206,324,68.3,62.2,59.2,79,55.4,73.9,80.8,80.8,90.5,64.7,82.7
"Utah","9-4",407,324,84.6,73.6,73.5,89.2,60.7,75.7,90.6,93.8,92.3,66.8,85.2
"Utah State","10-4",377,276,84.8,75.2,64.5,79.3,64.6,75.7,89.9,89,89,74.7,86.8
"UTEP","7-6",346,365,77.2,75.3,54.8,80.9,54.5,72.3,72.4,67.4,68.5,58.2,81.6
"UTSA","4-8",205,311,78.8,61.7,42.8,69.4,57.9,78.7,92,93.3,91.7,75.9,89.3
"Vanderbilt","3-9",206,399,70,62.1,48.9,65.6,51,72.6,88.6,88,88,62.9,61.4
"Virginia","5-7",310,289,86.3,75.7,76.8,74.7,71.6,72.8,90.8,84.7,90.1,82.5,89.4
"Virginia Tech","7-6",313,262,77.7,76.8,69.6,70.6,67.8,69.4,84.2,58.1,65.8,79.1,74.2
"Wake Forest","3-9",178,317,71.7,61.8,63.7,65.3,57.3,63.7,82,81.8,87.1,65,80.8
"Washington","8-6",423,347,84.5,73.2,62.2,80.7,61.4,82.8,90.7,92.9,81.9,78.6,83.6
"Washington State","3-9",382,463,78.5,80.2,63.8,73.7,63.8,78.1,78.1,77.4,77.4,57.6,55.8
"West Virginia","7-6",435,359,81.1,77.5,74.4,71.7,66.6,72.7,79.7,59.3,60.1,60.1,82.6
"Western Kentucky","8-5",577,519,83.3,88.9,89.3,83.7,68,83,71.2,71.2,66.8,57,63.7
"Western Michigan","8-5",439,324,84.9,81.1,74.5,76,68.7,76.4,81.3,73.2,58.7,58.7,89.9
"Wisconsin","11-3",484,291,90.7,93.1,63.9,80.5,70.4,89.4,90.9,94.1,94.1,75.4,75.5
"Wyoming","4-8",253,394,68.9,75,65.5,74,71.3,74,71.3,54.7,57.3,52.4,63.6
